a;⠁;1
b;⠃;12
c;⠉;14
d;⠙;145
e;⠑;15
f;⠋;124
g;⠛;1245
h;⠓;125
i;⠊;24
j;⠚;245
k;⠅;13
l;⠇;123
m;⠍;134
n;⠝;1345
o;⠕;135
p;⠏;1234
q;⠟;12345
r;⠗;1235
s;⠎;234
t;⠞;2345
u;⠥;136
v;⠧;1236
w;⠺;2456
x;⠭;1346
y;⠽;13456
z;⠵;1356
number indicator;⠼;3456
1;⠁;1
2;⠃;12
3;⠉;14
4;⠙;145
5;⠑;15
6;⠋;124
7;⠛;1245
8;⠓;125
9;⠊;24
0;⠚;245
,;⠂;2
:;⠒;25
.;⠲;256
?;⠦;236
!;⠖;235
(;⠐⠣;5 126
);⠐⠜;5 345
/;⠸⠌;456 34
\;⠸⠡;456 16
-;⠤;36
– (en dash);⠠⠤;6 36
— (em dash);⠐⠠⠤;5 6 36
‘;⠄;3
“;⠄⠶;3 2356
“;⠘⠦;45 236
”;⠘⠴;45 356
‘;⠄⠦;3 236
’;⠄⠴;3 356
";";⠆;23
